#x   y   Nzliczen
-4.95	-4.95	626
-4.95	-4.85	581
-4.95	-4.75	536
-4.95	-4.65	564
-4.95	-4.55	559
-4.95	-4.45	592
-4.95	-4.35	599
-4.95	-4.25	580
-4.95	-4.15	553
-4.95	-4.05	594
-4.95	-3.95	591
-4.95	-3.85	621
-4.95	-3.75	547
-4.95	-3.65	574
-4.95	-3.55	583
-4.95	-3.45	546
-4.95	-3.35	610
-4.95	-3.25	510
-4.95	-3.15	583
-4.95	-3.05	580
-4.95	-2.95	553
-4.95	-2.85	562
-4.95	-2.75	583
-4.95	-2.65	590
-4.95	-2.55	592
-4.95	-2.45	577
-4.95	-2.35	529
-4.95	-2.25	577
-4.95	-2.15	577
-4.95	-2.05	654
-4.95	-1.95	586
-4.95	-1.85	585
-4.95	-1.75	563
-4.95	-1.65	613
-4.95	-1.55	586
-4.95	-1.45	568
-4.95	-1.35	604
-4.95	-1.25	580
-4.95	-1.15	582
-4.95	-1.05	634
-4.95	-0.95	584
-4.95	-0.85	610
-4.95	-0.75	590
-4.95	-0.65	581
-4.95	-0.55	579
-4.95	-0.45	574
-4.95	-0.35	570
-4.95	-0.25	602
-4.95	-0.15	582
-4.95	-0.05	543
-4.95	0.05	585
-4.95	0.15	567
-4.95	0.25	521
-4.95	0.35	577
-4.95	0.45	553
-4.95	0.55	558
-4.95	0.65	570
-4.95	0.75	598
-4.95	0.85	620
-4.95	0.95	564
-4.95	1.05	564
-4.95	1.15	597
-4.95	1.25	605
-4.95	1.35	544
-4.95	1.45	557
-4.95	1.55	540
-4.95	1.65	561
-4.95	1.75	599
-4.95	1.85	579
-4.95	1.95	537
-4.95	2.05	553
-4.95	2.15	558
-4.95	2.25	611
-4.95	2.35	584
-4.95	2.45	589
-4.95	2.55	579
-4.95	2.65	599
-4.95	2.75	584
-4.95	2.85	600
-4.95	2.95	570
-4.95	3.05	552
-4.95	3.15	609
-4.95	3.25	606
-4.95	3.35	545
-4.95	3.45	565
-4.95	3.55	587
-4.95	3.65	575
-4.95	3.75	596
-4.95	3.85	573
-4.95	3.95	576
-4.95	4.05	536
-4.95	4.15	628
-4.95	4.25	596
-4.95	4.35	592
-4.95	4.45	584
-4.95	4.55	588
-4.95	4.65	581
-4.95	4.75	576
-4.95	4.85	595
-4.95	4.95	591
-4.85	-4.95	543
-4.85	-4.85	542
-4.85	-4.75	587
-4.85	-4.65	599
-4.85	-4.55	609
-4.85	-4.45	566
-4.85	-4.35	563
-4.85	-4.25	539
-4.85	-4.15	581
-4.85	-4.05	575
-4.85	-3.95	551
-4.85	-3.85	568
-4.85	-3.75	616
-4.85	-3.65	599
-4.85	-3.55	553
-4.85	-3.45	590
-4.85	-3.35	575
-4.85	-3.25	538
-4.85	-3.15	573
-4.85	-3.05	513
-4.85	-2.95	585
-4.85	-2.85	562
-4.85	-2.75	552
-4.85	-2.65	571
-4.85	-2.55	577
-4.85	-2.45	565
-4.85	-2.35	589
-4.85	-2.25	545
-4.85	-2.15	563
-4.85	-2.05	524
-4.85	-1.95	549
-4.85	-1.85	579
-4.85	-1.75	532
-4.85	-1.65	589
-4.85	-1.55	610
-4.85	-1.45	621
-4.85	-1.35	587
-4.85	-1.25	544
-4.85	-1.15	553
-4.85	-1.05	567
-4.85	-0.95	542
-4.85	-0.85	592
-4.85	-0.75	594
-4.85	-0.65	609
-4.85	-0.55	595
-4.85	-0.45	534
-4.85	-0.35	587
-4.85	-0.25	553
-4.85	-0.15	588
-4.85	-0.05	567
-4.85	0.05	571
-4.85	0.15	555
-4.85	0.25	573
-4.85	0.35	598
-4.85	0.45	568
-4.85	0.55	585
-4.85	0.65	564
-4.85	0.75	577
-4.85	0.85	579
-4.85	0.95	555
-4.85	1.05	544
-4.85	1.15	642
-4.85	1.25	568
-4.85	1.35	538
-4.85	1.45	558
-4.85	1.55	534
-4.85	1.65	581
-4.85	1.75	554
-4.85	1.85	563
-4.85	1.95	579
-4.85	2.05	556
-4.85	2.15	554
-4.85	2.25	575
-4.85	2.35	564
-4.85	2.45	560
-4.85	2.55	562
-4.85	2.65	539
-4.85	2.75	553
-4.85	2.85	555
-4.85	2.95	561
-4.85	3.05	535
-4.85	3.15	574
-4.85	3.25	569
-4.85	3.35	572
